Stage,Lake Area (acres),Volume
3915.6,28608,1171000
3915.7,28626,1174000
3915.8,28644,1177000
3915.9,28662,1180000
3916.0,28680,1183000
3916.1,28698,1185800
3916.2,28716,1188600
3916.3,28734,1191400
3916.4,28752,1194200
3916.5,28770,1197000
3916.6,28788,1200000
3916.7,28806,1203000
3916.8,28824,1206000
3916.9,28842,1209000
3917.0,28860,1212000
3917.1,28878,1214800
3917.2,28896,1217600
3917.3,28914,1220400
3917.4,28932,1223200
3917.5,28950,1226000
3917.6,28970,1228800
3917.7,28990,1231600
3917.8,29010,1234400
3917.9,29030,1237200
3918.0,29050,1240000
3918.1,29066,1243000
3918.2,29082,1246000
3918.3,29098,1249000
3918.4,29114,1252000
3918.5,29130,1255000
3918.6,29148,1258000
3918.7,29166,1261000
3918.8,29184,1264000
3918.9,29202,1267000
3919.0,29220,1270000
3919.1,29238,1272800
3919.2,29256,1275600
3919.3,29274,1278400
3919.4,29292,1281200
3919.5,29310,1284000
3919.6,29328,1287000
3919.7,29346,1290000
3919.8,29364,1293000
3919.9,29382,1296000
3920.0,29400,1299000
3920.1,29418,1302000
3920.2,29436,1305000
3920.3,29454,1308000
3920.4,29472,1311000
3920.5,29490,1314000
3920.6,29508,1316800
3920.7,29526,1319600
3920.8,29544,1322400
3920.9,29562,1325200
3921.0,29580,1328000
3921.1,29598,1331000
3921.2,29616,1334000
3921.3,29634,1337000
3921.4,29652,1340000
3921.5,29670,1343000
3921.6,29688,1346000
3921.7,29706,1349000
3921.8,29724,1352000
3921.9,29742,1355000
3922.0,29760,1358000
3922.1,29778,1361000
3922.2,29796,1364000
3922.3,29814,1367000
3922.4,29832,1370000
3922.5,29850,1373000
3922.6,29868,1376000
3922.7,29886,1379000
3922.8,29904,1382000
3922.9,29922,1385000
3923.0,29940,1388000
3923.1,29960,1391000
3923.2,29980,1394000
3923.3,30000,1397000
3923.4,30020,1400000
3923.5,30040,1403000
3923.6,30058,1406000
3923.7,30076,1409000
3923.8,30094,1412000
3923.9,30112,1415000
3924.0,30130,1418000
3924.1,30148,1421000
3924.2,30166,1424000
3924.3,30184,1427000
3924.4,30202,1430000
3924.5,30220,1433000
3924.6,30238,1436000
3924.7,30256,1439000
3924.8,30274,1442000
3924.9,30292,1445000
3925.0,30310,1448000
3925.1,30328,1451000
3925.2,30346,1454000
3925.3,30364,1457000
3925.4,30382,1460000
3925.5,30400,1463000
3925.6,30418,1466000
3925.7,30436,1469000
3925.8,30454,1472000
3925.9,30472,1475000
3926.0,30490,1478000
3926.1,30508,1481200
3926.2,30526,1484400
3926.3,30544,1487600
3926.4,30562,1490800
3926.5,30580,1494000
3926.6,30596,1497000
3926.7,30612,1500000
3926.8,30628,1503000
3926.9,30644,1506000
3927.0,30660,1509000
3927.1,30678,1512000
3927.2,30696,1515000
3927.3,30714,1518000
3927.4,30732,1521000
3927.5,30750,1524000
3927.6,30766,1527200
3927.7,30782,1530400
3927.8,30798,1533600
3927.9,30814,1536800
3928.0,30830,1540000
3928.1,30848,1543000
3928.2,30866,1546000
3928.3,30884,1549000
3928.4,30902,1552000
3928.5,30920,1555000
3928.6,30938,1558200
3928.7,30956,1561400
3928.8,30974,1564600
3928.9,30992,1567800
3929.0,31010,1571000
3929.1,31026,1574000
3929.2,31042,1577000
3929.3,31058,1580000
3929.4,31074,1583000
3929.5,31090,1586000
3929.6,31108,1589200
3929.7,31126,1592400
3929.8,31144,1595600
3929.9,31162,1598800
3930.0,31180,1602000
3930.1,31198,1605200
3930.2,31216,1608400
3930.3,31234,1611600
3930.4,31252,1614800
3930.5,31270,1618000
3930.6,31286,1621000
3930.7,31302,1624000
3930.8,31318,1627000
3930.9,31334,1630000
3931.0,31350,1633000
3931.1,31368,1636200
3931.2,31386,1639400
3931.3,31404,1642600
3931.4,31422,1645800
3931.5,31440,1649000
3931.6,31458,1652200
3931.7,31476,1655400
3931.8,31494,1658600
3931.9,31512,1661800
3932.0,31530,1665000
3932.1,31550,1668000
3932.2,31570,1671000
3932.3,31590,1674000
3932.4,31610,1677000
3932.5,31630,1680000
3932.6,31648,1683200
3932.7,31666,1686400
3932.8,31684,1689600
3932.9,31702,1692800
3933.0,31720,1696000
3933.1,31740,1699200
3933.2,31760,1702400
3933.3,31780,1705600
3933.4,31800,1708800
3933.5,31820,1712000
3933.6,31838,1715200
3933.7,31856,1718400
3933.8,31874,1721600
3933.9,31892,1724800
3934.0,31910,1728000
3934.1,31930,1731200
3934.2,31950,1734400
3934.3,31970,1737600
3934.4,31990,1740800
3934.5,32010,1744000
3934.6,32028,1747200
3934.7,32046,1750400
3934.8,32064,1753600
3934.9,32082,1756800
3935.0,32100,1760000
3935.1,32114,1763200
3935.2,32128,1766400
3935.3,32142,1769600
3935.4,32156,1772800
3935.5,32170,1776000
3935.6,32192,1779200
3935.7,32214,1782400
3935.8,32236,1785600
3935.9,32258,1788800
3936.0,32280,1792000
3936.1,32340,1795200
3936.2,32400,1798400
3936.3,32460,1801600
3936.4,32520,1804800
3936.5,32580,1808000
3936.6,32606,1811400
3936.7,32632,1814800
3936.8,32658,1818200
3936.9,32684,1821600
3937.0,32710,1825000
3937.1,32732,1828200
3937.2,32754,1831400
